timestamp,position_0,position_1,position_2,position_3,position_4,position_5,position_6,velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,velocity_6,effort_0,effort_1,effort_2,effort_3,effort_4,effort_5,effort_6
1,825,0000,-364,0000,662,0000,783,0000,-899,0000,-814,0000,963,0000,6,2700,5,6700,-108,0000,-13,5000,-200,0000,-137,0000,448,0000,-0.79731956,10313714,0000,0.40327492,-0.64658412,-0.017607498,0.04772649,0.12448938
22,0.00031326762,-0.0022154637,-0.00017886451,0.00074601797,0.002895197,0.0020946028,0.0051812598,0.013599909,-0.091733539,0.0037447979,0.01095069,0.12357932,0.10078358,0.19485366,-15509152,0000,37450872,0000,0.4919954,-164926,0000,0.13381699,27864928,0000,0.040717705
23,0.00035814854,-0.0023934894,-763,0000,0.00070664978,0.0031823389,0.002371019,0.0055968128,0.01536802,-0.091189408,0.013254327,0.0048237325,0.12757765,0.10826848,0.19743823,-17155231,0000,36054276,0000,0.29035794,-16628369,0000,0.060745869,31602946,0000,0.054735275
24,0.00040524658,-0.002555576,669,0000,0.00066967847,0.0034692892,0.0026559439,0.0060004415,0.01700422,-0.089160181,0.02491862,0.00016185507,0.13075715,0.11510727,0.19831346,-1841551,0000,33814066,0000,0.20029321,-16320536,0000,0.0017607498,33845758,0000,0.013683819
25,0.00045438185,-0.0026969899,0.00024945162,0.00063450474,0.003760554,0.0029444642,0.0064008943,0.018516903,-0.085469533,0.038192861,-0.0033878889,0.13373219,0.12093785,0.19869605,-1764391,0000,31090319,0000,0.22314545,-15528773,0000,-0.0017607498,34032659,0000,0.019691349
26,0.00050459574,-0.0028151543,0.00046510777,0.00060124858,0.0040548865,0.003227951,0.0068059013,0.019834911,-0.080192073,0.052119905,-0.0060359269,0.136419,0.12509896,0.19945753,-1756675,0000,27870177,0000,0.27153844,-14172425,0000,0.0088037491,31966736,0000,0.037380188
27,0.00055756605,-0.0029135449,0.00071479905,0.00057985674,0.0043521911,0.0034962778,0.0072094101,0.021164959,-0.073992712,0.066665051,-0.0069679262,0.13886567,0.12691185,0.1999169,-16537951,0000,24174215,0000,0.2271782,-12637292,0000,-0.012325249,28699307,0000,0.051397758
28,0.00061113555,-0.003011396,0.00099319259,0.00059615528,0.0046554399,0.0037363818,0.0076065074,0.022288918,-0.068979282,0.081171395,-0.003944487,0.14141742,0.12553988,0.19964325,-1818403,0000,20784321,0000,0.2486862,-11366976,0000,-0.039616871,24463998,0000,0.018690094
29,0.00066368643,-0.00310715,0.0012956745,0.00064744778,0.0049595517,0.0039551538,0.0079931185,0.023086222,-0.064758825,0.095185308,0.0019736604,0.14354511,0.1223091,0.19837572,-16589391,0000,17980842,0000,0.19626046,-10314428,0000,-0.023770123,20435615,0000,0.040050201
30,0.00071827455,-0.0031928972,0.0016179303,0.00072151028,0.0052580068,0.0041522943,0.0083818268,0.02392779,-0.060381775,0.10837382,0.0089851784,0.1446816,0.11756133,0.1975714,-1746387,0000,15205656,0000,0.34950493,-91771929,0000,0.057224369,17421838,0000,0.050730255
31,0.00077304243,-0.0032664203,0.0019581026,0.00081756382,0.0055545444,0.0043412255,0.0087756884,0.02461902,-0.05565774,0.12071629,0.016793497,0.14539904,0.11294219,0.19744328,-15174792,0000,12415037,0000,0.35488193,-76729774,0000,0.061626244,16170269,0000,0.061410309
32,0.00082954801,-0.0033240045,0.0023094201,0.00093680689,0.0058437957,0.0045239849,0.0091703289,0.025345774,-0.050284611,0.13170478,0.025359105,0.14524436,0.10862969,0.19741868,-16357911,0000,95575468,0000,0.39117667,-60598778,0000,0.072190742,13954158,0000,0.073759121
